Name,Position,High School,College,Signing Class
A.J. Miller,LB,West Campus,SMU,1985
A.J. Smith,TE,Boerne ,Air Force,2006
Aaron Colvin,DL,Lee,Texas,1997
Aaron Green,RB,Madison,Nebraska,2011
Aaron Saunders,OL,Jay,Missouri,2004
Adam Arthur,DL,Reagan,UAB,2007
Addison Hopkins,DT,Alamo Heights,Rice,2003
Aldo De La Garza,OL,New Braunfels,Texas A&M,2002
Alex Jones-Duffy,DE,Reagan ,Air Force,2005
Alex Leslie,TE,New Braunfels,Iowa State,2013
Alex Lincoln,DE,Steele,North Texas,2011
Alex Van Pelt,QB,Churchill,Pittsburgh,1988
Allex Alvarado,TE,MacArthur,New Mexico,2003
Andre Wiggins,LB,Madison,Wake Forest,2011
Andrew Green,DB,Madison,Nebraska,2009
Andrew Sendejo,DB,Smithson Valley,Rice,2006
Andrew Tercek,OL,East Central,Boise State,2013
Andrew Williamson,DB,Stevens,Vanderbilt,2011
Andy Blount,WR,Bandera,North Texas,2001
Andy Hunter,TE,Clark,Texas,1984
Andy Obriotti,TE,Clark,Baylor,1997
Ansel Carter,DB,Judson,Minnesota,1995
Ansel Cole,ATH,Jay,Texas Tech,1981
Anthony Arline,DB,Madison,Baylor,2002
Anthony Beverley,RB,Jay,SMU,1981
Anthony Hutchinson,RB,Judson,Texas Tech,1979
Anthony Moore,DB,Judson,Baylor,2009
Aron Taylor,WR,Warren,UTSA,2013
Ashaad Mabry,DT,MacArthur,Oklahoma State,2011
Aubrey Raiford,OL,Kerrville Tivy,Texas A&M,1980
Austin Fallin,OL,Reagan,Air Force,2006
Austin Hays,WR,Reagan,Oklahoma State,2012
Austin Jupe,DB,East Central,Baylor,2013
Bart LaRocca,QB,Clark,Navy,1986
Baylen Brown,OL,O_Connor,Texas Tech,2013
Ben Davis,OL,Boerne,Texas Tech,2006
Ben Zachry,FB,Alamo Heights,Texas A&M,1982
Bill Haley,DT,Churchill,Rice,1988
Bill Holder,OL,Clark,SMU,1995
Blair Peterson,QB,Churchill,New Mexico ,2007
Blaire Sullivan,QB,Central Catholic,UTEP,2011
Bobby Nelson,OL,Alamo Heights,Air Force,1989
Bobby Vorphal,K/P,Judson,North Texas,1989
Brady Vavala,DL,St. Anthony,UTEP,2001
Brandon Armstrong,RB,Roosevelt,UTSA,2010
Brandon Cox,OL,Clemens,Army,2004
Brian Lyssy,OL,Karnes City,Rice,1992
Brian Natkin,TE,Churchill,UTEP,1996
Brock Stratton,LB,Roosevelt,BYU,2000
Bryan Gerlich,RB,La Vernia,Texas Tech,1987
Bryan Phillips,OL,MacArthur,Oklahoma State,1997
Bryan Sralla,DT,Kerrville Tivy,Baylor,1988
Bubba Smith,LB,Clark,Texas,1989
C.J. Johnson,DB,Judson,Texas Tech,2000
Calvin Howell,DL,Warren,Texas,2009
Calvin Robinson,DB,Jay,SMU,1994
Carlos McFall,DB,Roosevelt,Stanford,2004
Carlyle Holiday,QB,Roosevelt,Notre Dame,2000
Casey Keck,OL,Clark,Texas Tech,1999
Cedric Griffin,DB,Holmes,Texas,2001
Charles Britton,RB,Cole,TCU,1988
Charles Harrison,DB,Sam Houston,Texas,1990
Charles Ross,ATH,Clemens,Rice,2009
Charles Wort,LB,New Braunfels,UTSA,2012
Chip Lambert,RB,Judson,Texas Tech,1984
Chivas Pritchett,DT,Sam Houston,Kansas State,1988
Chris Bordano,LB,Southwest,SMU,1993
Chris Brasfield,WR,Jay,UTEP,1991
Chris Caflisch,QB,Madison,Texas A&M,2006
Chris Dausin,C,Roosevelt,Texas A&M,1988
Chris Evans,TE,Madison,Air Force,2003
Chris Foegelle,OL,NB Canyon,North Texas,1995
Chris Johnson,RB,East Central,UTSA,2010
Chris Lammers,OL,Churchill,Texas A&M,1982
Chris McAllister,LB,Judson,Baylor,2009
Chris McIver,DL,Taft,North Texas,1999
Chris Mitchell,OL,Reagan,Army,2003
Chris Pryor,RB,Judson,Texas Tech,1984
Chris Samuels,RB,Judson,Texas,1987
Chris West,ATH,Devine,New Mexico State,2007
Clenzie Pierson,OL,Southside,Rice,1979
Clifford Ellison,DB,Fox Tech,Baylor,1988
Clint Haney,RB,Smithson Valley,Texas,2002
Cody Beyer,WR,Smithson Valley,Texas A&M,2006
Cody Carlson,QB,Churchill,Baylor,1982
Cody Fuller,WR,Smithson Valley,Texas Tech,2001
Cody Moore,ATH,Comfort,TCU,2004
Cody Rogers,LB,Brandeis,UTSA,2010
Colin Blake,CB,Brandeis,Florida State,2012
Colton Hanson,OL,New Braunfels,Tulane,2012
Connor Smith,OL,Smithson Valley,Northwestern,2006
Corey Clark,OL,Smithson Valley,Texas A&M,2003
Corey Fuller,TE,La Vernia,TCU,2008
Corey Quye,OL,Marshall,Texas,1996
Corey Robinson,WR,San Antonio Christian,Notre Dame,2013
Cory Bennett,DE,Roosevelt,Oklahoma,2004
Cory Vavala,LB,St. Anthony,UTEP,2002
Crosby Adams,DB,Roosevelt,UTSA,2010
D.J. Jones,DB,Steele,Houston,2010
Damian Chandler,DB,Madison,Texas Tech,2000
Dan Kopplin,DL,Clark,UTEP,1990
Dana Hogan,DB,Jay,Rice,1990
Daniel Jolly,RB,Marshall,Colorado,2003
Daniel McCarty,OL,Alamo Heights,SMU,2013
Dannon Cavil,WR,Madison,Oklahoma,2013
Darik Dillard,RB,MacArthur,Rice,2012
Dario Davis,RB,MacArthur,UTEP,1998
Darnell Smith,LB,Taft,Oklahoma State,2002
Darnell Stephens,DB,Judson,Clemson,1991
Darrell Johnson,DB,Judson,TCU,1989
Darren Harrington,TE,Clark,SMU,1989
Darren Ligon,LB,Hondo,Baylor,1984
Darryl Morris,DB,Warren,Texas State,2008
Daryl Davis,RB,Southwest,BYU,1988
Dave Drapela,RB,Kerrville Tivy,Texas A&M,1989
David Caldwell,DL,Highlands,TCU,1983
David Evetts,OL,Madison,Army,2001
David Ford,LB,Antonian,Army,2008
David Glasco,RB,Wagner,UTSA,2010
David Manhold,TE,Medina Valley,Rice,1984
David Schortemer,DB,Clark,Rice,1985
David Simmonds,WR,New Braunfels,Texas Tech,1997
Dennis Parks,DB,Fox Tech,New Mexico State,1988
Dennis Parks,WR,Judson,Rice,2012
Deon Cockrell,RB,Cole,Texas,1987
Derek Gary,RB,Churchill,Rice,1997
Derek Mann,RB,Stevens,Navy,2012
Derk Harrington,RB,Clark,Air Force,1986
Derrick Kindred,DB,Wagner,TCU,2012
Derwin Gray,DB,Judson,BYU,1989
Desmond Jackson,DB,Seguin,Oklahoma,2007
Devin Thomas,RB,Madison,Mississippi,2008
Dhyan Tarver,DB,Marshall,Army,2002
Dominic Cameron,RB,Sam Houston,Texas,1990
Dominick Maddox,DB,Judson,Texas State,2008
Dominique Henderson ,DL ,Roosevelt,UTSA,2010
Don Kindred,TE,MacArthur,Rice,1988
Donnie Laurence Jr.,ATH,Kerrville Tivy,Baylor,1991
Donnie Pinkerton,RB,Clemens,Rice,1999
Doug Maziur,WR,Judson,Oklahoma State,1994
Drew Allen,QB,Alamo Heights,Oklahoma,2009
Drew Phillips,OL,Steele,UTSA,2010
Dwayne Missouri,DL,Roosevelt,Northwestern,1996
Earl Anderson,DT,San Marcos,TCU,2002
Earl Kauffman,K,Judson,BYU,1988
Earon Holmes,WR,Brackenridge,UTSA,2010
Edward Galaviz,RB,Randolph,TCU,1987
Eric Brown,DB,Judson,Mississippi State,1995
Eric Gibson,DB,Roosevelt,New Mexico,1998
Eric Maus,DE,Steele,Air Force,2012
Eric Reed,RB,Churchill,Navy,1998
Eric Silver,OL,Kerrville Tivy,Army,1989
Eric Stamp,QB,Lee,Air Force,1986
Erik Flowers,DE,Roosevelt,Junior College,1996
Erik Huhn,DB,Steele,Texas,2013
Ethan Perry,P,Smithson Valley,TCU,2012
Ethan Watanabe,TE,Brennan,Hawaii,2012
Gabe Baker,DB,MacArthur,Rice,2010
Gabriel Rivera,DL,Jefferson,Texas Tech,1979
Garrett Gandy,OL,Boerne Champion,Navy,2012
Garrett Vavala,TE,St. Anthony,Texas State,2007
Gary Green,RB,Madison,Kansas,2004
Gary Myers,ATH,Taft,Navy,2007
Geff Gandy,LB,Churchill,Baylor,1979
Geoff Hangartner,OL,New Braunfels,Texas A&M,2000
Gilbert Harris,RB,Churchill,Arizona,2002
Giovanni Vizza,QB,Alamo Heights,North Texas,2007
Glenn Winship,QB,Alamo Heights,Northwestern,1992
Gray Mosier,TE,Boerne,Texas,1994
Greg Chafin,RB,New Braunfels,TexasTech,1979
Greg Johnson,RB,MacArthur,Rice,1986
Greg Jones,QB,Reagan,Navy,2006
Greg King,WR,Fox Tech,Rice,1986
Greg Oefinger,DT,Churchill,Baylor,1986
Greg Schorp,TE,Churchill,Texas A&M,1990
Halie Washington,RB,Sam Houston,Rice,1986
Hayden Greenbauer,DB,Clark,SMU,2010
Herbert Gonzales,DL,Southwest,UTEP,2011
Hunter Hunter,OL,Clark,Baylor,1992
Hunter Lawrence,K,Boerne,Texas,2006
Ian Harris,TE,Churchill,Texas,2007
Isaiah Carter,LB,Judson,UTEP,2007
J.B. Closner,DL,Clark,Alabama,2001
J.R. Richard,OL,Judson,Texas Tech,1991
Jace Amaro,TE,MacArthur,Texas Tech,2011
Jacob Chavan,QB,Cornerstone,Army,2001
Jacob Gutierrez,RB,Madison,Oklahoma,2003
Jacob Hillyer,WR,Somerset,Iowa,2011
Jake Robbins,QB ,La Vernia,Air Force,2003
Jake Wanamaker,WR,Central Catholic,UTSA,2010
James Compton,RB,Bandera,Washington,1986
James Fry,OL,Smithson Valley,TCU,2008
James Henry,DB,Clemens,Texas,2006
James O_Brien,WR,Alamo Heights,Air Force,1996
James Wynn,OL,Churchill,Air Force,2005
Jared Reynolds,DB,Clemens,Air Force,2006
Jared Robertson,DB,Madison,UTEP,1999
Jarek Lancaster,LB,O_Connor,Stanford,2009
Jarrett Dillard,WR,Sam Houston,Rice,2004
Jarveon Williams,RB,Judson,UTSA,2013
Jason McLean,LB,Madison,Texas State,2008
Jason Reynosa,TE,Edison,North Texas,1999
Javonte Magee,DE,Sam Houston,Baylor,2012
Jay Harvey,DB,Cole,SMU,1992
Jeff Hampton,DE,Judson,TCU,1988
Jeff Higgins,LB,Churchill,Texas,1988
Jeff Muenchow,TE,Judson,North Texas,1999
Jeff Wood,OL,Churchill,Texas Tech,1990
Jeremy Gernentz,ATH,Bandera,Army,1995
Jeremy Weisinger,QB,Uvalde,Colorado,1995
Jerod Douglas,RB,Judson,Baylor,1994
Jerod Fields,TE,Bandera,Oklahoma,2000
Jerome Tiller,QB,Lee,Iowa State,2008
Jerrell Wilkerson,RB,Clark,Texas,2005
Jess Williams,OL,Karnes City,TCU,1984
Jesse DeSoto,DL,Lee,North Texas,2007
Jim Lee,WR,Jay,Rice,1991
Jim Simpson,OL,Clark,Rice,1984
Jimmy Young,DB,Madison,SMU,1985
Joe Pawelek ,LB,Smithson Valley,Baylor,2005
Joe Senna,LB,Judson,UTEP,1989
Joey Garza,WR,Holmes,UTEP,1989
Joey Johnson,LB,MacArthur,Colorado,1999
Joey Slaten,OL,Seguin,SMU,1997
John Bordano,LB,New Braunfels,SMU,2010
John Country,LB,Jay,North Texas,1989
John Gordon,OL,St. Anthony,Duke,1993
John Hagy,DB,Marshall,Texas,1984
John Locke,OL,Churchill,Texas Tech,1989
John Sears,OL,Roosevelt,TCU,1979
John Teltschik,P,Kerrville Tivy,Texas,1982
John Wingate,LB,Medina Valley,New Mexico,1993
Johnathan Batson,DB,Judson,Texas A&M,2006
Johnathan Craig,RB,MacArthur,Wyoming,2007
Johnny Manziel,QB,Kerrville Tivy,Texas A&M,2011
Johnny Vizcaino,OL,Lanier,New Mexico,2012
Johnny Walker,WR,Holmes,Texas,1987
JoJo Stattmiller,WR,Alamo Heights,Air Force,1988
Jon Escamilla,QB,Marshall,Air Force,2007
Jonas Crafts,TE,Marshall,UTEP,2000
Jonathan Fryer,RB,East Central,New Mexico,1996
Jonathan Hickerson,DB ,Clark,Texas,1992
Jonathan Schaper,QB,MacArthur,UTEP,2000
Jonny Moore,TE,Marshall,UTEP,2006
Jordan Eddington,LB,Taft,Navy,2005
Jordan Sterns,DB,Steele,Oklahoma State,2013
Jose Garcia,DL,Lee,UTEP,2000
Jose Garcia,OL,Lee,UTEP,2001
Joseph Bonugli,DB,Warren,Kansas State,2009
Joseph Cheek,OL,Seguin,Texas A&M,2011
Joseph Lizcano,DB,Clemens,UTSA,2011
Josh Corby,OL,Madison,Navy,2008
Josh Green,LB,Judson,Oklahoma State,1995
Josh Kern,QB,Clark,Arizona,2012
Josh LaRocca,QB,Clark,Rice,1991
Josh Ward,K/P,Pleasanton,UTSA,2011
Justin Abt,DB,Clark,Rice,2003
Justin Eulberg,LB ,NB Canyon,Air Force,2000
Justin Still,DB,Clark,Baylor,1991
Justin Stille,OL,Southwest,Houston,1995
Justin Warren,OL,Roosevelt,Rice,2010
K.R. Carpenter,DB,Clemens,Air Force,2000
Karee_ Berry,DE ,Smithson Valley,Texas State,2013
Keith Cash,WR,Holmes,Texas,1987
Keith Kaiser,QB,MacArthur,New Mexico State,1985
Ken Fields,OL,Southwest,Rice,1987
Kendrick Patterson,DB,Roosevelt,TCU,1997
Kenneth Jenkins,ATH,Jay ,Oklahoma,1979
Kenneth Roberts,OL,Wheatley,SMU,1980
Kenny Bias,WR,Stevens,UTSA,2011
Kenny Hogan,DB,Clark,Air Force,1999
Kenny Mazurek,LB,Bandera,Air Force,2001
Kerry Cash,WR,Holmes,Texas,1987
Kevin Love,DT ,Judson,Texas A&M,1988
Kevin Lyssy,DE,Southwest,Louisiana Tech,1987
Kevin Wiley,OL,Clark,Texas,1986
Kliff Kingsbury,QB,New Braunfels,Texas Tech,1998
Kris Catlin,LB,Madison,Oklahoma State,2010
Kristian Stern,K,Alamo Heights,UTSA,2011
Kyle Bullard,K,Boerne Champion,Houston,2011
Kyle Cracknell,OL,Clark,North Texas,1984
Kyle Davis,DB,Reagan,Tulane,2010
Kyle Henry,TE,Smithson Valley,Air Force,2006
Kyle Ingraham,WR,Clark,Purdue,2003
Kyle Marrs,OL,Brandeis,Oklahoma,2012
Kyle McKinney,OL,Boerne Champion,UTSA,2013
Kyle Prater,LB,Kerrville Tivy,LSU,2008
Kyle Staudt,DB,Fredericksburg,Baylor,1997
Lance Fuller,DB,Smithson Valley,Texas Tech,2004
Laron Bybee,QB,Smithson Valley,Army,2002
LaVar Veale,DB,East Central,TCU,1997
Lawrence Mattison,RB,Smithson Valley,Oregon State,2013
LeJonta McGowan,DL,Roosevelt,New Mexico,1998
Leo Thomas,DB,Sam Houston,Arizona,2012
Louis Sheffield,RB,Wheatley,Texas Tech,1987
Maddy Lindner,OL,Comfort,TCU,2003
Malcolm Brown,RB,Steele,Texas,2011
Malcolm McKenzie,WR,Holmes,Texas Tech,1994
Marcus Heard,DT,Clark,Texas A&M,1993
Marcus Moss,RB,Madison,Kansas State,1989
Marcus Richardson,LB,Seguin,Oklahoma State,2007
Marcus Wright,RB,Reagan,Georgia Tech,2008
Mario Wiggins,DB,Madison,Texas State,2008
Mark Breed,QB,Jay,Missouri,2004
Mark Comalander,QB,Churchill,Rice,1984
Mark Futschik,DB,Marshall,SMU,1992
Mark Koalenz,OL,Judson,Air Force,2003
Mark Lodge,ATH,Sam Houston,Rice,1995
Mark Mascheck,QB,Clark,Purdue,1987
Mark Mirelez,DB,Uvalde,Air Force,1989
Marques Roberts,WR,Luling,Baylor,2000
Marquis Anderson,DT,Steele,Oklahoma,2011
Marquis Warford,RB,Madison,Memphis,2013
Martel Moore,WR,Warren,Northern Illinois,2009
Marty Solombrino,OL,MacArthur,SMU,1989
Marvin Godbolt,DB,Taft,TCU,2000
Matt Botone,LB,Devine,New Mexico State,1993
Matt Bumgardner,WR,Luling,Texas A&M,1995
Matt Goetz,OL,Steele,Texas Tech,2009
Matt Nelson,K,Steele,Louisiana Tech,2009
Matt Padron,TE,Clark,Arizona,2002
Matthew Rienstra,OL,Marshall,Air Force,2013
Mauri Moore,DB,Judson,Minnesota,1995
Mauricio Sanchez,DB,Warren,UTSA,2011
Michael Henderson,LB,Sam Houston,SMU,1989
Michael Hodges,LB,O_Connor,Air Force,2005
Michael Rayos,DB,Taft,Navy,2005
Michael Stepteau,DB,Brackenridge,LSU,1988
Michael Sutton ,OL,Roosevelt,Colorado,2002
Michael Tellis,DB,Roosevelt,Baylor,1997
Michael Toudoze,OL,East Central,TCU,2001
Mike Cody,OL,Jay,Texas A&M,1991
Mike Frazier,QB,Southwest,New Mexico State,1982
Mike Hasley,TE,MacArthur,Texas Tech,1988
Mike Hendricks,DB,Judson,Texas A&M,1991
Mike Jones,TE,Marshall,Texas,1997
Mike Kunz,OL,Lee,Clemson,1990
Mike McKenzie,TE,Holmes,Baylor,1988
Mike Perez,QB,Holmes,UTEP,1989
Mike Reed,OL,Judson,Oklahoma,1991
Mike Reneau,QB,Churchill,New Mexico State,1987
Mike Romo,QB,Roosevelt,SMU,1988
Mike South,DB,Churchill,North Texas,1989
Mike Sullivan,OL,New Braunfels,TCU,1986
Mike Wallace,RB,Lee,Army,1997
Mitchell Price,RB,Madison,SMU,1985
Moton Hopkins,DE,Randolph,Tulsa,2005
Mychal Thompson,WR,Jefferson,Air Force,2000
Mykkele Thompson,ATH,Stevens,Texas,2011
Myle Morales,LB,Madison,Air Force,2005
Nate Askew,WR,Madison,Texas A&M,2010
Nathan Bennett,RB,Holmes,Rice,1990
Ndukwe Kalu,DL,Marshall,Rice,1993
Nevin McKenzie,DB,Jay,Tennessee,2007
Nick Charles,OL,Taft,Air Force,2005
Nick Coleman,CB,East Central,Air Force,2012
Nick Elder,LB,Central Catholic,Rice,2011
Nick Fanuzzi,QB,Churchill,Alabama,2007
Nick Martinez,OL,Floresville,Oklahoma State,2007
Nick Seitze,DL,Judson,Kentucky,1999
Nick Uretsky,LB,Alamo Heights,Rice,2013
Noah Copeland,RB,Brandeis,Navy,2010
Nolan Bluntzer,OL,New Braunfels,California,1999
Nykiren Wellington,OL,Holmes,TCU,2010
Oscar Portales,TE,Jay,Houston,1994
Otis Grigsby,LB,Judson,Kentucky,1999
Otis McDaniel,WR,Taft,TCU,2004
Pat Day,LB,Randolph,Air Force,1986
Patrick Bailey,DE,Alamo Heights,Duke,2004
Patrick Hoog,OL,Medina Valley,Oklahoma State,2008
Paul Brotze,C,New Braunfels,Rice,1987
Payton Rion,OL,Smithson Valley,UTSA,2011
Phillip Gaines,DB,Judson,Rice,2009
Priest Holmes,RB,Marshall,Texas,1992
Quincy Adams,RB,Brandeis,Navy,2011
Quincy Butler,DB,Roosevelt,Texas Tech,2001
Quincy Russell,DT,Sam Houston,Texas,2011
Quintin Demps,DB,Roosevelt,UTEP,2003
Quinton Bradley,DE,Roosevelt,Idaho,2011
Ra_Shawn Mosley,RB,Southwest,Arizona,2002
Ralphael Green,DL,Sam Houston,Indiana,2012
Ram Vela,QB,Taft,Navy,2005
Randall Bell,LB,Fox Tech,New Mexico,1983
Randy Dausin,DL,Roosevelt,Texas A&M,1982
Ranorris Ray,DE,Taft,TCU,2001
Reed Boyd,LB,NB Canyon,Texas,1999
Rex Dausin,QB,Warren,Houston,2012
Rob Housler,TE,Judson,Florida Atlantic,2006
Robert Anderson,DB,Judson,Texas Tech,1993
Robert Burns,QB,Churchill,Navy,1998
Robert Chapman,OL,Clark,UTSA,2010
Robert Clay,RB,NB Canyon,New Mexico State,2009
Robert Danklefs,OL,Clark,Texas A&M,1992
Robert Harris,DL,Holmes,UTEP,1996
Robert Merrill,RB,Taft,TCU,2002
Robert Quiroga,WR,Holmes,Baylor,2000
Robert Reed,LB,Judson,Texas,1991
Robert Santiago,ATH,Jay,Air Force,1982
Robert Studdard,TE,Pearsall,Texas,1982
Rocky Perez,QB,Holmes,UTEP,1996
Roger Green,RB,West Campus,Kansas State,1988
Roisean Haynes,DB,Judson,Houston,2007
Ron Davidson,OL,Cole,New Mexico State,1987
Ronald Flemons,DL,Marshall,Texas A&M,1997
Rongea Hill,RB,Sam Houston,SMU,1989
Ronnie Riley,LB,Judson,Kentucky,1998
Roy White,TE,Kerrville Tivy,New Mexico,1993
Ruben Rubio,K,Alamo Heights,New Mexico State,1987
Ryan Gonzales,DE,Clemens,Air Force,2005
Ryan Harris,OL,Marshall,UTEP,1995
Ryan Morgan,LB,Central Catholic,Air Force,2002
Ryan Mounts,OL,Jay,Houston,1991
Ryan Simmons,LB,Steele,Oklahoma State,2011
Sacha Lancaster,DL,Marshall,Arkansas,1997
Sam Clarke,DE,Jay,UTEP,1999
Sam Dibrell,WR,Alamo Heights,North Texas,2007
Sam Hurd,WR,Brackenridge,Northern Illinois,2002
Sammy Morris,RB,Jay,Texas Tech,1995
Scott Ankrom,QB,Jay,TCU,1984
Scott Bagley,TE,Uvalde,Texas,1982
Scott Glassock,FB,Churchill,UTEP,1998
Scott Hall,DB,Clemens,North Texas,2000
Scott Solomon,DE,Marshall,Rice,2007
Scott Thomas,ATH,Jay,Air Force,1982
Scott Weinpel,RB,Central Catholic,Navy,1996
Sean Noster,LB,Marshall,Nebraska,1993
Sean Porter,LB,Clemens,Texas A&M,2009
Shaban Dika,OL,Warren,Iowa State,2010
Shane Huhn,DB,Steele,UTEP,2011
Shawn Worthen,DL,Alamo Heights,TCU,1997
Sheldon McClain,WR,Steele,Oklahoma,2010
Skylar Nelson,LB,Alamo Heights,UTSA,2012
Spencer Jergins,TE,New Braunfels,Texas State,2008
Spencer Nealy,DE,Reagan,Texas A&M,2009
Stanley McKinney,WR,Seguin,Rice,1980
Sterling Korona,OL,Reagan,Duke,2013
Steve Collinsworth,DT,Clark,New Mexico State,1986
Steve Ingram,OL,Madison,North Texas,2002
Stevie Dorman,QB,Somerset,Colorado,2011
T. Sommers,DB,Holmes,BYU,1988
Terrance Wilburn,ATH,San Marcos,UTSA,2011
Thomas Blount,WR,East Central,Air Force,2007
Thomas Kelly,QB,Kennedy,UTEP,1980
Thomas Parsons,OL,Smithson Valley,LSU,2008
Tim Gardner,DB,Roosevelt,SMU,1996
Tim Vordenbaumen,DL,Clark,Texas A&M,1990
Titus Brothers,DB,Judson,Nebraska,2003
Todd Boales,WR,Uvalde,SMU,1980
Todd Mitchell,RB,NB Canyon,Army,1994
Tom Nalepa,K,Madison,Air Force,1985
Tom Wort,LB,New Braunfels,Oklahoma,2009
Tommie Saunders,DB,Madison,Oklahoma State,2010
Tommy Armstrong,QB,Steele,Nebraska,2012
Tommy Crenweige,OL,Fredericksburg,Texas Tech,1986
Tommy Harrison,LB,MacArthur,North Texas,2001
Tony Darden,QB,Holmes,Texas Tech,1993
Tony DeLorenzo,C,Lee,New Mexico State,1986
Torrea Peterson,DL,East Central,Oklahoma,2010
Travaras Battle,DB,Jay,TCU,2010
Travis Houston,LB,Judson,Texas State,2006
Travis Lewis,LB,Lee,Oklahoma,2007
Travis Prikryl,DT,Central Catholic,Army,2003
Travis Sawtelle,DB,Alamo Heights,Navy,2005
Travis Wood,OL,Churchill,Texas,1994
Tre Flowers,DB,Judson,Oklahoma State,2013
Tremaine Butler,QB,Brackenridge,TCU,1999
Trevor Knight,QB,Reagan,Oklahoma,2012
Trey Darilek,TE,Lee,UTEP,1999
Trey Merkens,LB,Clark,UTEP,1997
Troy Williams,DB,Roosevelt,SMU,1991
Ty Detmer,QB,Southwest,BYU,1987
Tyler Chambers,ATH,MacArthur,Houston,2009
Tyler Mucho,LB,Clark,Houston,1988
Tyrell Higgins,DL,Clemens,Texas,2007
V.J. McElroy,ATH,Uvalde,Baylor,2007
Vincent Pryor,OL,Churchill,TCU,1991
Vincent Taylor,DL,Madison,Oklahoma State,2013
Voddie Baucham,TE,Highlands,New Mexico State,1987
Wally McCampbell,QB,Churchill,Rice,1983
Walter Hill,OL,St. Gerard,UTEP,1983
Wane McGarity,WR,Clark,Texas,1994
Wilbert Mitchell,DL,Randolph,SMU,1992
Wilbur Odom,QB,Holmes,Michigan,1987
Will Cavanaugh,OL,NB Canyon,UTSA,2012
Will Conners,OL,Taft,Texas State,2006
Will Harlos,DB,Somerset,Colorado,2011
William Ross,QB,Jay,Navy,1998
Willie Culpepper,RB,Brackenridge,Miami,2010
Winston LaVan,WR,Jay,Rice,1990
Yaniv Barnett,DT,Clemens,Arizona,2004
Yoncy Edmonds,ATH,Kerrville Tivy,Rice,1991
Zac Colvin,QB,Lee,Colorado,1998
Zach Rhodes,QB,New Braunfels,SMU,2006
Zach Winbush,LB,Clemens,Texas Tech,2010
Zane Tomlin,DT,Clark,Missouri,2003