Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
BRACKENRIDGE RD,SAN ANTONIO RIVER,0.2 MI S OF HILDEBRAND,Steel Truss - Thru,--,--,92.9,95.1,Structurally Deficient
CROCKETT ST,SAN ANTONIO RIVER,0.00 MI E OF N PRESA,Steel Truss - Thru,--,--,84,86,Structurally Deficient
S PRESA ST,SAN ANTONIO RIVER,0.1 MI S OF E COMMERCE,Steel Truss - Thru,--,--,100.1,100.1,Structurally Deficient
E COMMERCE ST,SAN ANTONIO RIVER,0.45 MI W OF IH 37,Concrete Tee beam (3 spans),1914,--,28.9,84,Functionally Obsolete
SOMERSET RD.,LEON CREEK,0.1 MI N OF CASSIN RD.,Concrete Arch - Deck (4 spans),1914,--,59.1,223.1,Structurally Deficient
N SAINT MARYS ST,SAN ANTONIO RIVER,0.05 MI N OF E MARTIN ST,Concrete Tee beam (3 spans),1915,1950,32.2,100.1,Functionally Obsolete
S SAINT MARYS ST,SAN ANTONIO RIVER,0.02 MI N OF VILLITA ST,Concrete Tee beam (2 spans),1915,1950,37.1,76.1,Functionally Obsolete
OLD SEGUIN ROAD,SALADO CREEK,0.25 MI W OF IH 35,Concrete Culvert (5 spans),1920,--,8.9,50.9,Structurally Deficient
NAVARRO ST,SAN ANTONIO RIVER,.05 S.OF N.ST.MARYS ST.,Concrete Tee beam (2 spans),1921,--,38.1,77.1,Functionally Obsolete
NAVARRO ST,SAN ANTONIO RIVER,0.03 MI S OF MARKET ST,Concrete Arch - Deck (3 spans),1922,--,53.2,159.1,Functionally Obsolete
QUINTANA ROAD,LIVE OAK SLOUGH,0.7 MI NW OF IH35 S,Concrete Culvert (6 spans),1925,--,7.9,54.1,Functionally Obsolete
GROSS LN,MEDINA RIVER,0.2 MI S OF MECHLER RD.,Concrete Culvert (4 spans),1925,--,5.9,27.9,Functionally Obsolete
E COMMERCE ST,SAN ANTONIO RIVER,0.05 MI W OF ST MARYS,Concrete Tee beam (2 spans),1925,--,36.1,73.2,Functionally Obsolete
OLD FREDRICKSBURG,LEON CREEK,0.2 MI N OF LOOP 1604,Concrete Culvert (7 spans),1925,--,6.9,58.1,Functionally Obsolete
E HOUSTON ST,SAN ANTONIO RIVER,0.05 MI W OF N ST MARY'S,Concrete Tee beam (3 spans),1925,--,35.1,107,Functionally Obsolete
N PRESA ST,SAN ANTONIO RIVER,0.1 MI N OF CROCKETT ST,Steel Truss - Thru,1925,--,96.1,178.2,Functionally Obsolete
QUINTANA ROAD,INDIAN CREEK,0.25 MI S OF CASSIN RD.,Concrete Culvert (3 spans),1925,--,9.8,33.1,Structurally Deficient
E RAMSEY ROAD,DRAW-NO NANE,0.15 MI NW OF ISOM RD,Concrete Culvert (3 spans),1925,1980,9.8,32.2,Functionally Obsolete
N SAINT MARYS ST,SAN ANTONIO RIVER,0.04 MI N OF COMMERCE ST,Concrete Tee beam (2 spans),1925,--,39,78.1,Functionally Obsolete
ASHLEY RD,SIX MILE CREEK,0.80 MI E OF ROOSEVELT,Concrete Culvert (2 spans),1926,--,12.1,24.9,Structurally Deficient
E HOUSTON ST,SALADO CREEK,.5 MI W OF E COMMERCE ST,Concrete Tee beam (10 spans),1926,1950,30.8,310.1,Functionally Obsolete
MARKET ST,SAN ANTONIO RIVER,0.03 MI W OF ALAMO ST,Concrete Tee beam (2 spans),1926,--,43,89.9,Functionally Obsolete
NEW SULPHUR SPRING,ROSILLO CREEK,0.15 MI E OF LP 410,Concrete Tee beam (2 spans),1926,1965,33.1,65.9,Functionally Obsolete
MILLER RD,MARTINEZ CREEK,0.4 MI S OF NEW BERLIN RD,Concrete Tee beam (7 spans),1926,--,30.8,216.9,Functionally Obsolete
MARKET ST,SAN ANTONIO RIVER,0.05 MI W OF ST MARYS ST,Concrete Tee beam (2 spans),1927,--,36.1,71.9,Functionally Obsolete
E MARTIN ST,SAN ANTONIO RIVER,0.1 MI E OF SOLEDAD ST,Concrete Tee beam (2 spans),1927,--,51.8,106,Functionally Obsolete
PECAN ST,SAN ANTONIO RIVER,0.04 MI W OF S ST MARY'S,Concrete Tee beam (2 spans),1927,--,43,91.9,Functionally Obsolete
DOLOROSA ST,SAN PEDRO CREEK,0.03 MI E OF SANTA ROSA,Steel Other,1928,--,25.9,28.9,Functionally Obsolete
E. HILDEBRAND AVE,OLMOS CREEK,0.3 MI W OF BROADWAY,Steel Stringer/Multi-beam or girder,1928,1979,58.1,153.9,Functionally Obsolete
E. HILDEBRAND AVE,SAN ANTONIO RIVER,0.24 MI. W. OF BROADWAY,Steel Stringer/Multi-beam or girder (2 spans),1928,1979,40,80.1,Functionally Obsolete
DOLOROSA ST,SAN ANTONIO RIVER,0.05 MI E OF MAIN PLAZA,Concrete Tee beam (2 spans),1929,--,36.1,75.1,Functionally Obsolete
E GRAYSON ST,SAN ANTONIO RIVER,0.3 MI W OF BROADWAY AVE.,Concrete Tee beam (2 spans),1929,--,44,87.9,Functionally Obsolete
TRAVIS ST,SAN ANTONIO RIVER,0.06 MI E OF SOLEDAD ST.,Concrete Tee beam (2 spans),1929,--,49.9,100.1,Functionally Obsolete
ML MISSION RD.,DRAW-NO NAME,0.6 MI S OF MILITARY DR.,Concrete Culvert (3 spans),1930,1970,7.9,24.9,Functionally Obsolete
DURANGO BLVD WB,SAN ANTONIO RIVER,0.2 MI SE OF MAIN ST,Concrete Box beam or girders - Multiple,1931,--,103,110.9,Functionally Obsolete
US 281 SBFR,SALADO CREEK,0.80 MI S OF E BITTERS RD,Concrete Tee beam (13 spans),1933,1956,27.9,371.1,Functionally Obsolete
RANDOLPH BLVD,DRAW-NO NAME,0.4 MI S OF S WEIDNER RD,Concrete Culvert (5 spans),1933,--,4.9,27.9,Functionally Obsolete
SAN PEDRO AVE,OLMOS CREEK,0.15 MI N OF BASSE RD,Concrete Tee beam (14 spans),1934,1963,27.9,399,Functionally Obsolete
SL368 (AUSTIN HWY),SALADO CRK & IRA LEE RD,0.60 MI NE OF EISENHAUER,Concrete Tee beam (15 spans),1934,1949,28.9,428.2,Functionally Obsolete
US 281 SB,MUD CREEK,0.55 MI N OF LP 1604,Concrete Tee beam (5 spans),1934,1956,27.9,143.1,Functionally Obsolete
SPUR 536,ROCKWOOD CREEK,0.80 MI S OF IH 10,Concrete Culvert (2 spans),1934,1955,14.1,35.1,Functionally Obsolete
SPUR 536,SAN ANTONIO RIVER,1.10 MI S OF IH 10,Concrete Arch - Deck (3 spans),1934,--,109.9,290,Functionally Obsolete
S JOSEPHINE TOBIN,ALAZAN CREEK RELIEF,0.1 MI S OF W WOODLAWN,Steel Other (5 spans),1935,--,15.1,74.2,Functionally Obsolete
WOODLAWN PARK RD,WOODLAWN LAKE DRAIN,0.03 MI E OF JOS TOBIN,Steel Other (4 spans),1935,--,15.1,60,Functionally Obsolete
QUINTANA RD,SPUR 371,1.20 MI SW OF US 90,Steel Stringer/Multi-beam or girder,1936,1967,67.9,172.9,Functionally Obsolete
CASSIANO ST,NOGALITOS ST,0.10 MI W OF S FLORES ST,Steel Stringer/Multi-beam or girder,1937,--,49.9,68.9,Functionally Obsolete
LA CHAPELLE ST,NOGALITOS ST,0.1 MI W OF S FLORES ST,Steel Stringer/Multi-beam or girder,1937,--,49.9,68.9,Functionally Obsolete
LOOP 13,DRAIN,0.10 MI W OF IH 37,Concrete Culvert (8 spans),1942,1969,4.9,45.9,Functionally Obsolete
SP 421-CULEBRA,IH 10 LOWER LEVEL,0.30 MI S OF CINCINNATI,Concrete Tee beam (5 spans),1948,--,44,185,Functionally Obsolete
FREDERICKSBURG RD,IH 10 LOWER LEVEL,0.65 MI N OF SP 421,Concrete Tee beam (2 spans),1949,--,66.9,132.9,Functionally Obsolete
WOODLAWN AVE,IH 10 LOWER LEVEL,0.60 MI N OF SP 421,Concrete Tee beam (3 spans),1949,1992,48.9,138.1,Functionally Obsolete
CINCINNATI AVE,IH 10 LOWER LEVEL,0.30 MI N OF SP 421,Concrete Tee beam (2 spans),1949,--,47.9,99.1,Functionally Obsolete
N COLORADO ST,IH 10 LOWER LEVEL,0.45 MI S OF SP 421,Concrete Tee beam,1949,--,82,82,Functionally Obsolete
IH 10 EB,W POPLAR ST,0.75 MI SE OF SP 421,Steel Stringer/Multi-beam or girder (12 spans),1950,1992,48.9,594.2,Functionally Obsolete
IH 10 WB,W POPLAR ST,0.75 MI SE OF SP 421,Steel Stringer/Multi-beam or girder (13 spans),1950,1992,49.9,650,Functionally Obsolete
WEST QUINCY,SAN PEDRO CREEK,AT SANTA ROSA ST INT,Concrete Slab (3 spans),1950,1990,27.9,73.2,Functionally Obsolete
EADS AVE,ROCKWOOD CREEK,0.20 MI W OF S PRESA ST,Concrete Culvert (4 spans),1950,1967,9.8,44,Functionally Obsolete
ML E. PYRON AVE.,DRAW-NO NAME,0.1 MI E OF PADRE RD.,Concrete Slab (5 spans),1950,--,22,108.9,Functionally Obsolete
WURZBACH RD,DRAIN,0.50 MI SW OF IH 10,Concrete Culvert (3 spans),1950,1970,9.8,34.1,Functionally Obsolete
SP 536 (S ALAMO),SAN PEDRO CREEK,0.10 MI SE OF IH 35,Concrete Slab (3 spans),1951,--,29.9,80.1,Functionally Obsolete
SP 536 (ALAMO ST),IH 35 LOWER LEVEL,1.4 MI N OF US 90,Concrete Slab (2 spans),1952,1991,49.9,106,Functionally Obsolete
CAMDEN ST,SAN ANTONIO RIVER,0.05 MI N OF IH 35,Concrete Slab (4 spans),1952,--,33.1,120.1,Functionally Obsolete
IH 410 SB,"FM 78, SPRR, BINZ-ENGLEM",2.00 MI NW OF IH 10,Steel Stringer/Multi-beam or girder (9 spans),1953,1994,49.9,390.1,Functionally Obsolete
BROOKLYN AVE,IH 35 ML (LOWER LEVEL),0.7 MI W OF IH 37,Concrete Frame (2 spans),1954,--,53.2,106,Functionally Obsolete
MCCULLOUGH AVE,IH 35 ML (LOWER LEVEL),0.8 MI W OF IH 37,Concrete Frame (2 spans),1954,--,53.2,106,Functionally Obsolete
LEXINGTON AVE,IH 35 LOWER LEVEL,0.90 MI W OF IH 37,Concrete Frame (2 spans),1954,--,51.8,95.1,Functionally Obsolete
MAIN AVE,IH 35 LOWER LEVEL,1.00 MI W OF IH 37,Concrete Frame (2 spans),1954,1993,43,99.1,Functionally Obsolete
SAN PEDRO AVE,IH 35 LOWER LEVEL,1.10 MI W OF IH 37,Concrete Frame (2 spans),1954,1993,44,92.9,Functionally Obsolete
IH 35,IH 10 WB CONN,DOWNTOWN Y I/C,Steel Stringer/Multi-beam or girder (18 spans),1954,1989,86.9,1671,Functionally Obsolete
BLANCO RD,DRAIN,0.3 MI S OF LP 410,Concrete Culvert (3 spans),1955,--,7.9,25.9,Functionally Obsolete
LA MANDA BLVD,MARTINEZ CREEK,0.06 MI W OF SALEM ST,Concrete Culvert (4 spans),1955,--,8.9,53.2,Functionally Obsolete
IH 35 SB ML,SPUR 422,1.80 MI SW OF LP 13,Steel Stringer/Multi-beam or girder (3 spans),1956,1974,80.1,202.1,Functionally Obsolete
IH 35 NB ML,SPUR 422,1.80 MI SW OF LP 13,Steel Stringer/Multi-beam or girder (3 spans),1956,1974,80.1,202.1,Functionally Obsolete
IH 35 NBML,LEON CR/ CASSIN RD,1.7 MI NE OF IH 410,Steel Stringer/Multi-beam or girder (6 spans),1956,1989,70.9,367.1,Functionally Obsolete
MARTIN ST EB,IH 10 WB,1.10 MI N OF SP 536,Concrete Frame,1957,--,36.1,38.1,Functionally Obsolete
FM 1937,MEDINA RIVER,1.75 MI N OF LOOP 1604,Concrete Slab (3 spans),1957,--,40,100.1,Functionally Obsolete
IH 35 SBFR,CONCEPCION CREEK,0.50 MI S OF US 90,Concrete Culvert (5 spans),1958,--,9.8,55.1,Functionally Obsolete
LOOP 13,SAN ANTONIO RIVER,0.80 MI E OF SPUR 536,Concrete Slab (11 spans),1958,1966,34.1,344.2,Functionally Obsolete
ST CLOUD RD,ALAZAN CREEK,0.30 MI N OF BANDERA RD,Concrete Slab (2 spans),1958,--,24.9,49.9,Functionally Obsolete
BUENA VISTA ST,"UPRR, MEDINA, COMAL, ETC",0.06 MI E OF RICHTER ST,Prestressed Stringer/Multi-beam or girder,1959,1989,100.1,1234,Functionally Obsolete
FRESNO DR,MARTINEZ CREEK,0.2 MI E OF IH 10,Concrete Culvert (5 spans),1959,--,9.8,54.1,Functionally Obsolete
NOGALITOS ST,SAN PEDRO CREEK,0.20 MI NE OF IH 10,Prestressed Stringer/Multi-beam or girder (5 spans),1959,--,53.2,262.2,Functionally Obsolete
VALLEY HI DRIVE,IH 410,1.2 MI S OF US 90,Steel Stringer/Multi-beam or girder (4 spans),1959,--,57.1,207,Functionally Obsolete
OLYMPIA PKWY,IH 35,1.16 MI S OF CIBOLO CREEK,Prestressed Stringer/Multi-beam or girder (5 spans),1960,--,65,305.1,Functionally Obsolete
IH 35 SBML,ZARZAMORA BLVD,0.65 MI S OF LP 13,Prestressed Stringer/Multi-beam or girder (11 spans),1960,1989,80.1,1014.2,Functionally Obsolete
IH 35 NBML,ZARZAMORA BLVD,0.65 MI S OF LP 13,Prestressed Stringer/Multi-beam or girder (5 spans),1960,1989,80.1,986.9,Functionally Obsolete
IH 35 SBML,SOMERSET RD,2.80 MI S OF LP 13,Steel Stringer/Multi-beam or girder (4 spans),1960,1989,78.1,598.1,Functionally Obsolete
IH 35 NBML,SOMERSET RD,2.80 MI S OF LP 13,Steel Stringer/Multi-beam or girder (4 spans),1960,1989,78.1,598.1,Functionally Obsolete
W HILDEBRAND AVE,MARTINEZ CREEK,2.2 MI S OF WEST AVE,Concrete Culvert (10 spans),1960,2002,9.8,111.9,Functionally Obsolete
FULTON AVE,MARTINEZ CREEK,2.50 MI S OF WEST AVE,Concrete Culvert (10 spans),1960,--,9.8,107,Functionally Obsolete
US 90 WB FR,IH 410,1.5 MI S OF MARBACH ROAD,Steel Stringer/Multi-beam or girder (4 spans),1960,--,60,299.9,Functionally Obsolete
US 90 EB FR,IH 410,1.5 MI S OF MARBACH ROAD,Steel Stringer/Multi-beam or girder (4 spans),1960,--,60,299.9,Functionally Obsolete
COMMERCIAL AVE,SIX MILE CREEK,0.95 MI N OF LP 410,Concrete Culvert (9 spans),1960,1992,9.8,98.1,Functionally Obsolete
OLD JUDSON RD,DRAW,0.1 MI E OF LOOKOUT RD.,Concrete Culvert (6 spans),1960,--,6.9,45.9,Functionally Obsolete
ROLAND AVE,W BRANCH SALADO CREEK,0.90 MI SE OF US 87,Concrete Culvert (8 spans),1960,--,6.9,66.9,Functionally Obsolete
ROLAND AVE,E BRANCH SALADO CREEK,1.30 MI SE OF US 87,Concrete Culvert (4 spans),1960,--,5.9,28.9,Functionally Obsolete
S JOSEPHINE TOBIN,ALAZAN CREEK,0.1 MI S OF WOODLAWN,Concrete Slab (5 spans),1961,--,30.8,152.9,Structurally Deficient
IH 410 SBML,IH 35 NBML,2.60 MI S OF FM 1976,Steel Stringer/Multi-beam or girder (3 spans),1961,--,86.9,229,Functionally Obsolete
IH 35 NB ML,MKT RR,2.20 MI E OF IH 37/US 281,Steel Stringer/Multi-beam or girder (5 spans),1962,--,75.1,377,Functionally Obsolete
IH 35 SB ML,MKT RR,2.20 MI E OF IH 37/US 281,Steel Stringer/Multi-beam or girder (5 spans),1962,--,75.1,377,Functionally Obsolete
NEW BRAUNFELS AVE,IH 35 ML'S,1.0 MI E OF IH 37/US 281,Steel Stringer/Multi-beam or girder (4 spans),1962,--,69.9,253.9,Functionally Obsolete
N PINE ST,"IH 35 ML'S, CONN 7",0.5 MI E OF IH 37/US 281,Steel Stringer/Multi-beam or girder (2 spans),1962,--,82,277.9,Functionally Obsolete
FM 2538/TRAINER H.,IH 10,1.82 MI E OF FM 1518,Prestressed Stringer/Multi-beam or girder (4 spans),1962,--,65,230,Functionally Obsolete
S LAREDO ST,APACHE CRK TRIBUTARY,0.2 MI W OF IH 35,Concrete Tee beam (2 spans),1962,--,36.1,111.9,Functionally Obsolete
MONTGOMERY ROAD,MEDINA RIVER,2.9 MI S OF US 90,Prestressed Stringer/Multi-beam or girder (4 spans),1963,--,62,216.9,Functionally Obsolete
FM 78,MARTINEZ CREEK,4.05 MI NE OF IH 410,Concrete Stringer/Multi-beam or girder (2 spans),1964,1995,29.9,61,Functionally Obsolete
LP 368,IH 410,0.15 MI W OF IH 35,Steel Stringer/Multi-beam or girder (4 spans),1964,--,79.1,251,Functionally Obsolete
IH 410 SB,LP13NB (CONN F FROM 410),1.2 MI NW OF IH 10,Steel Stringer/Multi-beam or girder (3 spans),1964,--,49.9,136.2,Functionally Obsolete
IH 410 NB,"FM 78, SPRR, BINZ-ENGLEM",2.00 MI NW OF IH 10,Steel Stringer/Multi-beam or girder (9 spans),1964,1994,49.9,390.1,Functionally Obsolete
EISENHAUER RD,SALADO CREEK,0.05 MI W OF HOLBROOK RD,Steel Stringer/Multi-beam or girder (10 spans),1964,--,58.1,514.1,Functionally Obsolete
W MARTIN ST,ALAZAN CREEK,0.05 MI W OF SAN JACINTO,Prestressed Slab (5 spans),1964,--,36.1,173.9,Functionally Obsolete
S COLORADO ST,ALAZAN CREEK,0.1 MI S OF BUENA VISTA,Steel Stringer/Multi-beam or girder (3 spans),1965,--,68.9,185,Functionally Obsolete
GUADALUPE ST WB LL,ALAZAN CREEK,0.45 MI W OF IH 35,Steel Stringer/Multi-beam or girder (5 spans),1965,--,37.1,187,Functionally Obsolete
GUADALUPE ST EB LL,ALAZAN CREEK,0.45 MI W OF IH 35,Steel Stringer/Multi-beam or girder (5 spans),1965,--,37.1,187,Functionally Obsolete
PECAN VALLEY DR,DRAINAGE DITCH,0.55 MI N OF US 87,Concrete Culvert (5 spans),1965,2001,7.9,44,Functionally Obsolete
VICAR DR,BEITEL CREEK,0.02MI E OF PERRIN BEITEL,Concrete Culvert (7 spans),1965,--,5.9,51.8,Functionally Obsolete
N ZARZAMORA ST,ALAZAN CREEK,0.5 MI S OF LP 421,Concrete Slab (4 spans),1965,--,32.2,129.9,Functionally Obsolete
IH 10 WFR,BALCONES CREEK,@ KENDALL COUNTY LINE,Concrete Slab (3 spans),1965,--,24.9,75.1,Functionally Obsolete
IH 10 EFR,BALCONES CREEK,@ KENDALL COUNTY LINE,Concrete Slab (3 spans),1965,--,24.9,75.1,Functionally Obsolete
TARPON DR,IH 10,1.9 MI S OF KENDALL C/L,Prestressed Stringer/Multi-beam or girder (2 spans),1966,--,65,211,Functionally Obsolete
GEMBLER RD,SALADO CREEK,0.8 MI W OF LOOP 13,Steel Stringer/Multi-beam or girder (9 spans),1966,1990,71.9,569.9,Functionally Obsolete
GUADALUPE ST ML'S,ALAZAN CREEK & UPRR,0.3 MI W OF IH 35,Steel Stringer/Multi-beam or girder (19 spans),1966,--,74.2,1445,Functionally Obsolete
S ALAMO ST,SAN ANTONIO RIVER,0.1 MI NE OF PROBANDT ST,Concrete Slab (3 spans),1967,--,30.8,92.9,Structurally Deficient
ALAMO & LOSOYA ST,SAN ANTONIO RIVER,0.01 MI N OF DOLOROSA ST,Prestressed Other,1967,1988,75.1,77.1,Functionally Obsolete
CLASSEN RD,ELM WATERHOLE CREEK,0.15 MI SE OF BULVERDE RD,Concrete Culvert (5 spans),1967,--,4.9,28.9,Functionally Obsolete
E MARKET ST,SAN ANTONIO RI EXTENSION,0.10 MI W OF BOWIE ST,Prestressed Other,1967,--,67.9,69.9,Functionally Obsolete
MEDICAL DR,ZARZAMORA CREEK,0.3 MI N OF BABCOCK RD,Concrete Culvert (3 spans),1967,--,9.8,33.1,Functionally Obsolete
THAMES DR.,DRAW-NO NAME,0.13 MI W OF SAN PEDRO,Concrete Culvert (3 spans),1967,--,7.9,42,Functionally Obsolete
SH 132,IH 35 ML,SH 132 AT IH 35,Steel Stringer/Multi-beam or girder (2 spans),1967,--,100.1,332,Functionally Obsolete
IH 35 NB,IH 10 CONNECTORS,IH 35 @ IH 10,Steel Stringer/Multi-beam or girder (4 spans),1967,1987,65,242.1,Functionally Obsolete
