County,Population,Museums,Libraries,Museums and Libraries,Gun Retailers,Ratio
Harris,4336853,195,74,269,529,-1.966542751
Dallas,2480331,151,60,211,239,-1.132701422
Tarrant,1911541,114,45,159,414,-2.603773585
Travis,1120954,115,32,147,127,1.157480315
Bexar,1817610,85,31,116,212,-1.827586207
Collin,854778,45,16,61,150,-2.459016393
El Paso,827718,32,15,47,93,-1.978723404
Galveston,306782,38,8,46,85,-1.847826087
McLennan,241481,32,9,41,69,-1.682926829
Denton,728799,21,17,38,153,-4.026315789
Cameron,417276,27,10,37,50,-1.351351351
Jefferson,252358,25,10,35,62,-1.771428571
Nueces,352107,25,9,34,64,-1.882352941
Hidalgo,815996,19,15,34,64,-1.882352941
Lubbock,289324,25,8,33,91,-2.757575758
Fort Bend,652365,19,12,31,86,-2.774193548
Brazoria,330242,19,11,30,85,-2.833333333
Hays,176026,21,5,26,36,-1.384615385
Grayson,122353,17,9,26,36,-1.384615385
Comal,118480,22,4,26,44,-1.692307692
Williamson,471014,17,9,26,107,-4.115384615
Potter,121661,21,4,25,34,-1.36
Smith,216080,19,6,25,70,-2.8
Fayette,24821,20,4,24,17,1.411764706
Taylor,134117,18,4,22,46,-2.090909091
Montgomery,499137,15,7,22,125,-5.681818182
Bell,326843,11,9,20,74,-3.7
Brazos,203164,15,4,19,40,-2.105263158
Gregg,123024,14,5,19,44,-2.315789474
Tom Green,114954,15,3,18,47,-2.611111111
Gillespie,25357,14,2,16,19,-1.1875
Nacogdoches,65330,15,1,16,34,-2.125
San Patricio,66137,8,7,15,22,-1.466666667
Wichita,132047,11,4,15,35,-2.333333333
Johnson,154707,10,5,15,47,-3.133333333
Wharton,41216,10,4,14,17,-1.214285714
Hill,34823,11,3,14,19,-1.357142857
Hunt,87048,9,5,14,27,-1.928571429
Victoria,90028,13,1,14,42,-3
Wood,42306,9,4,13,23,-1.769230769
Kaufman,108568,8,5,13,38,-2.923076923
Midland,151468,11,2,13,57,-4.384615385
Matagorda,36592,8,4,12,15,-1.25
Wise,60939,5,7,12,19,-1.583333333
Colorado,20752,7,5,12,19,-1.583333333
Burnet,43823,7,5,12,29,-2.416666667
Angelina,87441,9,3,12,30,-2.5
Hood,52905,11,1,12,33,-2.75
Ellis,155976,7,5,12,45,-3.75
Parker,121418,8,4,12,48,-4
Washington,34147,10,1,11,10,1.1
Van Zandt,52481,9,2,11,19,-1.727272727
Austin,28847,6,5,11,20,-1.818181818
Guadalupe,143183,8,3,11,23,-2.090909091
Bastrop,75825,8,3,11,23,-2.090909091
Harrison,66886,9,2,11,28,-2.545454545
Henderson,78675,8,3,11,30,-2.727272727
Webb,262495,8,3,11,44,-4
Presidio,7201,8,2,10,3,3.333333333
Eastland,18245,7,3,10,10,1
Atascosa,47093,5,5,10,15,-1.5
Caldwell,39232,7,3,10,17,-1.7
Walker,68817,8,2,10,19,-1.9
Jasper,35649,7,3,10,20,-2
Bowie,93487,6,4,10,29,-2.9
Freestone,19646,7,2,9,7,1.285714286
Aransas,24356,8,1,9,7,1.285714286
Milam,24167,7,2,9,11,-1.222222222
Navarro,48038,7,2,9,12,-1.333333333
Fannin,33659,6,3,9,12,-1.333333333
DeWitt,20503,7,2,9,14,-1.555555556
Bosque,17855,6,3,9,14,-1.555555556
Coryell,76192,7,2,9,17,-1.888888889
Medina,47399,6,3,9,21,-2.333333333
Rusk,53622,4,5,9,23,-2.555555556
Brown,37749,7,2,9,23,-2.555555556
Kerr,49953,7,2,9,24,-2.666666667
Somervell,8658,7,1,8,4,2
Marion,10235,7,1,8,4,2
Houston,22911,6,2,8,5,1.6
Llano,19444,5,3,8,10,-1.25
Bandera,20601,5,3,8,11,-1.375
Palo Pinto,27889,7,1,8,14,-1.75
Rockwall,85245,6,2,8,15,-1.875
Gray,23043,6,2,8,15,-1.875
Liberty,76907,5,3,8,29,-3.625
Hardin,55417,4,4,8,35,-4.375
Orange,82957,5,3,8,39,-4.875
Ector,149378,7,1,8,45,-5.625
Randall,126474,6,2,8,56,-7
Zapata,14390,5,2,7,3,2.333333333
Karnes,15081,4,3,7,5,1.4
Chambers,36812,3,4,7,9,-1.285714286
Wheeler,5751,5,2,7,10,-1.428571429
Uvalde,26926,4,3,7,10,-1.428571429
Blanco,10723,5,2,7,10,-1.428571429
Montague,19503,4,3,7,13,-1.857142857
Anderson,57938,5,2,7,15,-2.142857143
Hopkins,35565,6,1,7,16,-2.285714286
Hutchinson,21819,4,3,7,19,-2.714285714
Crosby,5991,3,3,6,1,6
Garza,6317,5,1,6,2,3
Franklin,10660,4,2,6,2,3
Pecos,15697,3,3,6,3,2
Goliad,7465,5,1,6,3,2
Carson,6010,2,4,6,3,2
Robertson,16486,3,3,6,4,1.5
Yoakum,8184,4,2,6,5,1.2
Mills,4907,5,1,6,5,1.2
Falls,17493,4,2,6,5,1.2
Callahan,13525,3,3,6,6,1
Kleberg,32101,5,1,6,8,-1.333333333
Gonzales,20312,3,3,6,10,-1.666666667
Brewster,9286,4,2,6,10,-1.666666667
Wilson,45418,4,2,6,12,-2
Hale,35764,3,3,6,12,-2
Grimes,26859,5,1,6,12,-2
Limestone,23326,4,2,6,14,-2.333333333
Jim Wells,41680,3,3,6,14,-2.333333333
Lavaca,19581,3,3,6,17,-2.833333333
Lamar,49426,5,1,6,23,-3.833333333
Erath,39658,4,2,6,25,-4.166666667
Kinney,3586,4,1,5,1,5
Ward,11244,2,3,5,2,2.5
Real,3350,3,2,5,3,1.666666667
Sabine,10361,3,2,5,4,1.25
Hardeman,4016,4,1,5,4,1.25
Maverick,55932,2,3,5,5,1
Lee,16628,4,1,5,5,1
Lamb,13775,2,3,5,5,1
Jones,19859,3,2,5,5,1
Mason,4128,4,1,5,6,-1.2
Gaines,18921,3,2,5,6,-1.2
Wilbarger,13131,4,1,5,7,-1.4
Waller,45213,3,2,5,7,-1.4
Hamilton,8310,4,1,5,7,-1.4
Trinity,14393,3,2,5,8,-1.6
Comanche,13623,3,2,5,11,-2.2
Tyler,21464,4,1,5,12,-2.4
Panola,23870,4,1,5,13,-2.6
McCulloch,8330,4,1,5,13,-2.6
Leon,16742,3,2,5,13,-2.6
Lampasas,20222,4,1,5,14,-2.8
Calhoun,21806,1,4,5,16,-3.2
Cooke,38467,3,2,5,20,-4
Cherokee,50878,2,3,5,27,-5.4
Kendall,37766,2,3,5,32,-6.4
Motley,1196,3,1,4,1,4
Duval,11640,1,3,4,1,4
Collingsworth,3099,3,1,4,1,4
Upton,3372,1,3,4,2,2
Sherman,3093,3,1,4,2,2
Donley,3522,3,1,4,2,2
Shackelford,3375,3,1,4,3,1.333333333
Jeff Davis,2253,3,1,4,3,1.333333333
Hansford,5555,2,2,4,3,1.333333333
Menard,2148,3,1,4,4,1
Clay,10473,3,1,4,4,1
Hemphill,4158,3,1,4,5,-1.25
Dallam,7057,2,2,4,5,-1.25
Coleman,8543,2,2,4,5,-1.25
Titus,32581,3,1,4,6,-1.5
Rains,11065,3,1,4,7,-1.75
Runnels,10309,2,2,4,8,-2
Red River,12470,3,1,4,8,-2
Stephens,9247,3,1,4,10,-2.5
Nolan,15037,3,1,4,10,-2.5
Young,18341,2,2,4,11,-2.75
Burleson,17169,3,1,4,11,-2.75
Moore,22141,1,3,4,12,-3
Cass,30331,2,2,4,13,-3.25
Upshur,39884,3,1,4,14,-3.5
Hockley,23530,2,2,4,14,-3.5
Polk,45790,1,3,4,17,-4.25
Howard,36147,3,1,4,17,-4.25
Culberson,2277,2,1,3,0,10
Stonewall,1432,2,1,3,1,3
San Augustine,8769,2,1,3,1,3
Reeves,13965,2,1,3,1,3
Edwards,1884,2,1,3,1,3
Cochran,3016,2,1,3,1,3
Refugio,7305,2,1,3,2,1.5
Newton,14140,1,2,3,2,1.5
Morris,12834,1,2,3,2,1.5
Lynn,5723,2,1,3,2,1.5
Lipscomb,3485,1,2,3,2,1.5
Willacy,21921,2,1,3,3,1
Jack,8957,2,1,3,3,1
Hudspeth,3318,0,3,3,3,1
Crockett,3807,2,1,3,3,1
Camp,12413,2,1,3,3,1
Sutton,4006,2,1,3,4,-1.333333333
Swisher,7763,2,1,3,5,-1.666666667
San Jacinto,26856,1,2,3,5,-1.666666667
Frio,18065,1,2,3,5,-1.666666667
Live Oak,11867,1,2,3,6,-2
Floyd,6230,1,2,3,6,-2
Terry,12743,2,1,3,7,-2.333333333
Dawson,13810,2,1,3,8,-2.666666667
Shelby,25792,2,1,3,9,-3
Childress,7095,2,1,3,9,-3
Scurry,17302,2,1,3,10,-3.333333333
Bee,32799,2,1,3,10,-3.333333333
Sterling,1219,1,1,2,0,10
Oldham,2102,1,1,2,0,10
Dickens,2291,1,1,2,0,10
Winkler,7606,0,2,2,1,2
Terrell,903,1,1,2,1,2
Parmer,9965,1,1,2,1,2
Mitchell,9402,1,1,2,1,2
La Salle,7369,1,1,2,1,2
Foard,1277,1,1,2,1,2
Briscoe,1537,1,1,2,1,2
Coke,3210,1,1,2,2,1
Castro,8030,1,1,2,2,1
Brooks,7237,1,1,2,2,1
San Saba,6012,1,1,2,3,-1.5
Knox,3767,1,1,2,3,-1.5
Irion,1612,1,1,2,3,-1.5
Fisher,3856,1,1,2,3,-1.5
Bailey,7114,1,1,2,3,-1.5
Kimble,4481,1,1,2,4,-2
Jackson,14591,1,1,2,4,-2
Delta,5238,2,0,2,4,-2
Deaf Smith,19177,1,1,2,4,-2
Cottle,1452,1,1,2,4,-2
Madison,13781,1,1,2,5,-2.5
Haskell,5875,1,1,2,5,-2.5
Hall,3239,1,1,2,5,-2.5
Armstrong,1949,1,1,2,5,-2.5
Baylor,3614,1,1,2,6,-3
Ochiltree,10806,1,1,2,10,-5
Val Verde,48623,1,1,2,11,-5.5
Starr,61963,1,1,2,12,-6
Zavala,12156,0,1,1,0,10
Throckmorton,1600,0,1,1,0,10
Schleicher,3206,0,1,1,0,10
Kent,807,0,1,1,0,10
Glasscock,1251,1,0,1,0,10
McMullen,764,1,0,1,1,1
King,285,0,1,1,1,1
Concho,4043,0,1,1,1,1
Borden,637,1,0,1,1,1
Reagan,3601,0,1,1,2,-2
Martin,5312,0,1,1,2,-2
Jim Hogg,5245,0,1,1,2,-2
Dimmit,10897,0,1,1,2,-2
Crane,4773,0,1,1,2,-2
Archer,8681,0,1,1,2,-2
Andrews,16799,0,1,1,3,-3
Roberts,831,0,0,0,0,1
Kenedy,412,0,0,0,0,1
Hartley,6100,0,0,0,0,1
Loving,95,0,0,0,1,-10
