Water Body,Cause,Boat Involved,Year,River Length
Angelina River,Trauma,Yes,2014,120 miles
Angelina River,Trauma,Yes,2014,120 miles
Blanco River,Exhaustion ,No,2010,87 miles
Brazos River,Fell in Water,No,2014,"1,280 miles"
Brazos River,Unknown,Yes,2014,"1,280 miles"
Brazos River,Fell in Water,No,2010,"1,280 miles"
Brazos River,Tubing,Yes,2010,"1,280 miles"
Brazos River,Fell in water,No,2010,"1,280 miles"
Brazos River,Boat capsized,Yes,2010,"1,280 miles"
Brushy Creek,Drowning,Yes,2010,
Canadian River,Fell in Water,No,2014,906 miles
Canadian River,Fell in Water,No,2014,906 miles
Cibolo Creek,Whitewater,No,2013,96 miles
Cibolo Creek,Vehicle accident,No,2010,96 miles
Cibolo Creek,Drowning,Yes,2011,96 miles
Clear Creek,Trauma,Yes,2013,
Clear Creek,Trauma,Yes,2012,
Clear Creek,Trauma,Yes,2010,
Colorado River,Drowning,No,2013,865 miles
Colorado River,Current,No,2011,865 miles
Colorado River,Current,No,2010,865 miles
Colorado River,Fell in Water,Yes,2010,865 miles
Comal River,Fell in Water,No,2013,2.5 miles
Comal River,Other,No,2011,2.5 miles
Flat Creek,Vehicle accident,No,2014,
Frio River,Drowning,Yes,2012,200 miles
Garcitas Creek,Drowning,No,2012,
Goose Creek,Vehicle accident,No,2011,
Guadalupe River,Unknown,No,2014,409 miles
Guadalupe River,Drowning,Yes,2013,409 miles
Guadalupe River,Drowning,No,2013,409 miles
Guadalupe River,Fell in Water,No,2013,409 miles
Guadalupe River,Attempted rescue,No,2012,409 miles
Guadalupe River,Unknown,No,2012,409 miles
Guadalupe River,Unknown,Yes,2012,409 miles
Guadalupe River,Vehicle accident,No,2012,409 miles
Guadalupe River,Drowning,No,2012,409 miles
Guadalupe River,Fell in water,No,2011,409 miles
Guadalupe River,Fell in Water,No,2011,409 miles
Guadalupe River,Other,No,2010,409 miles
Guadalupe River,Intoxicated,No,2010,409 miles
Guadalupe River,Unknown,No,2010,409 miles
Guadalupe River,Flooding,No,2010,409 miles
Guadalupe River,Unknown,No,2010,409 miles
Guadalupe River,Drowning,Yes,2010,409 miles
Guadalupe River,Fell in Water,No,2010,409 miles
Guadalupe River,Accident,No,2010,409 miles
Guadalupe River,Jumped from bridge,No,2010,409 miles
Guadalupe River,Fell in Water,No,2010,409 miles
Guadalupe River,Fell in Water,No,2010,409 miles
Hidalgo County Canal,Underwater debris,No,2012,
Lampasas River,Drowning,No,2013,75 miles
Lavaca River,Fell in water,Yes,2010,115 miles
Little Cypress Creek,Fell in Water,Yes,2010,
Little Pine Creek,Vehicle Accident,No,2014,
Marine Creek Reservoir,Drowning,No,2012,
Medina River,Unsupervised,No,2014,120 miles
Medina River,Fell in Water,No,2013,120 miles
Medina River,Drowning,No,2011,120 miles
Medina River,Drowning,No,2011,120 miles
Medina River,Fell in Water,No,2010,120 miles
Mill Creek,Fatigue,No,2013,
Navidad River,Fell in Water,No,2012,90 miles
Neches River,Fell in Water,No,2014,416 miles
Neches River,Unknown,No,2012,416 miles
Neches River,Fell in Water,No,2012,416 miles
Neches River,Drowning,No,2012,416 miles
Neches River,Unknown,No,2012,416 miles
Neches River,Suicide,No,2011,416 miles
Neches River,Suicide,No,2011,416 miles
Neches River,Suicide,No,2011,416 miles
Neches River,Suicide,No,2011,416 miles
Neches River,Suicide,No,2010,416 miles
Neches River,Suicide,No,2010,416 miles
Neches River ,Unknown,No,2014,416 miles
Nolan River,Fell in Water,No,2013,
Nueces River,Jumped from bridge,No,2010,315 miles
Pedernales River,Exhaustion ,No,2010,106 miles
Pedernales River,Exhaustion ,No,2010,106 miles
Plummers Creek,Fell in Water,No,2014,
Rio Grande,Unknown,No,2010,"1,896 miles"
Rio Grande,Drowning,No,2012,"1,896 miles"
Rio Grande,Unknown,No,2011,"1,896 miles"
Rio Grande,Fell in Water,No,2011,"1,896 miles"
Rio Grande,Unknown,No,2011,"1,896 miles"
Rio Grande,Unknown,No,2010,"1,896 miles"
Rowlett Creek,Fell in Water,No,2011,
Sabine River,Unknown,No,2013,360 miles
Sabine River,Fell in Water,No,2011,360 miles 
Sabine River,Drowning,No,2011,360 miles
Sabine River,Unknown,No,2010,360 miles
San Antonio River,Unknown,No,2010,180 miles
San Felipe Springs,Unsupervised,No,2011,
San Jacinto River,Current,no,2014,85 miles
San Jacinto River,Drowning,No,2012,85 miles
San Jacinto River,Head Injury,No,2011,85 miles
San Jacinto River,Unknown,No,2010,85 miles
San Jacinto River,Unknown,No,2010,85 miles
San Jacinto River,Unknown,No,2010,85 miles
San Jacinto River,Trauma,Yes,2010,85 miles
San Marcos River,Drowning,No,2014,75 miles
San Soloman Springs,Unknown,No,2011,
Sandy Creek Tributary,Trauma,No,2012,
Tres Palacios Creek,Drowning,No,2010,
Trinity River,Fell in Water,No,2010,550 miles
Trinity River,Fell in Water,No,2013,550 miles
Trinity River,Fell in Water,No,2011,550 miles
Trinity River,Fell in water,No,2014,550 miles
Trinity River,Fell in Water,No,2014,550 miles
Trinity River,Suicide,No,2014,550 miles
Trinity River,Trauma,yes,2014,550 miles
Trinity River,Fell in Water,No,2012,550 miles
Trinity River,Current,No,2012,550 miles
Trinity River,Fell in Water,No,2012,550 miles
Trinity River,Current,No,2011,550 miles
Trinity River,Current,No,2011,550 miles
Trinity River,Unknown,No,2011,550 miles
Trinity River,Power line,Yes,2010,550 miles
Trinity River,Current,No,2010,550 miles
Trinity River,Accident,No,2013,550 miles
Village Creek,Drowning,No,2014,
Village Creek,Drowning,no,2014,
Village Creek,Unknown,No,2013,
Walker Branch Creek,Fell in water,No,2012,
White Rock Creek,Whitewater,No,2012,